ID,Turn,Payload,CreatedAt,Player0,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18,Player19,Player20,Player21,Key,Version,IsLatest,Changes,OpinionFrom0,OpinionTo0,OpinionFrom1,OpinionTo1,OpinionFrom2,OpinionTo2,OpinionFrom3,OpinionTo3,OpinionFrom4,OpinionTo4,OpinionFrom5,OpinionTo5,OpinionFrom6,OpinionTo6,OpinionFrom7,OpinionTo7,OpinionFrom8,OpinionTo8,OpinionFrom9,OpinionTo9,OpinionFrom10,OpinionTo10,OpinionFrom11,OpinionTo11,OpinionFrom12,OpinionTo12,OpinionFrom13,OpinionTo13,OpinionFrom14,OpinionTo14,OpinionFrom15,OpinionTo15,OpinionFrom16,OpinionTo16,OpinionFrom17,OpinionTo17,OpinionFrom18,OpinionTo18,OpinionFrom19,OpinionTo19,OpinionFrom20,OpinionTo20,OpinionFrom21,OpinionTo21
11,11,{},1761648852,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,"[""OpinionFrom1""]","You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"You are not competing for the favor of the same City-States.
You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"Our top friend: None
Our top Competitor: The Ottomans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,{},1761648872,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,"[""OpinionFrom1""]","Our top friend: None
Our top Competitor: None",,"You are not competing for the favor of the same City-States.
You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"You are not competing for technological advancement.
You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,16,{},1761648938,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,"[""OpinionFrom3"",""OpinionTo3""]","You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"Our top friend: None
Our top Competitor: None",,They desire friendly relations with our empire.,Our real approach is Friendly.,There haven't been any major incidents which have shaped your relationship.,Our real approach is Friendly.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,16,{},1761648940,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,"[""OpinionFrom1""]","You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,They desire friendly relations with our empire.,Our real approach is Neutral.,"You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"Our top friend: None
Our top Competitor: The Ottomans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,17,{},1761648954,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,"[""OpinionFrom2"",""OpinionTo2"",""OpinionFrom3""]","You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"Our top friend: None
Our top Competitor: None",,"We have similar Social Policies.
They desire friendly relations with our empire.","We have similar Social Policies. (3)
Our real approach is Friendly.","You are not competing for technological advancement.
You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Friendly.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,{},1761648955,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,"[""OpinionFrom1"",""OpinionTo1"",""OpinionFrom3"",""OpinionTo3""]","You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"We have similar Social Policies.
They desire friendly relations with our empire.","We have similar Social Policies. (3)
Our real approach is Friendly.","Our top friend: None
Our top Competitor: None",,"We have similar Social Policies.
You are not competing for technological advancement.
You have no contested borders.
They have no strong feelings about us one way or the other.","We have similar Social Policies. (3)
Our real approach is Neutral.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,{},1761648956,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,"[""OpinionFrom1"",""OpinionTo1"",""OpinionFrom2"",""OpinionTo2""]","You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"We have similar Social Policies.
They desire friendly relations with our empire.","We have similar Social Policies. (3)
Our real approach is Neutral.","You have no contested borders.
We have similar Social Policies.
They have no strong feelings about us one way or the other.","We have similar Social Policies. (3)
Our real approach is Neutral.","Our top friend: None
Our top Competitor: The Ottomans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,{},1761648968,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,"[""OpinionFrom1""]","Our top friend: None
Our top Competitor: None",,They desire friendly relations with our empire.,Our real approach is Neutral.,"You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"You are not competing for technological advancement.
You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,18,{},1761648969,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,"[""OpinionFrom0"",""OpinionTo0"",""OpinionFrom1"",""OpinionFrom2"",""OpinionFrom3"",""OpinionTo3""]",There haven't been any major incidents which have shaped your relationship.,Our real approach is Friendly.,"Our top friend: None
Our top Competitor: The Ottomans",,"We have similar Social Policies.
They desire friendly relations with our empire.
Your military deployment is threatening.","We have similar Social Policies. (3)
Our real approach is Friendly.","We have similar Social Policies.
You are not competing for technological advancement.
You have no contested borders.
They have no strong feelings about us one way or the other.","We have similar Social Policies. (3)
Our real approach is Friendly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,19,{},1761648998,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,"[""OpinionFrom0"",""OpinionFrom1""]","You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Friendly.,"Our top friend: None
Our top Competitor: Indonesia",,"We have similar Social Policies.
They desire friendly relations with our empire.
Your military deployment is threatening.","We have similar Social Policies. (3)
Our real approach is Friendly.","We have similar Social Policies.
You are not competing for technological advancement.
You have no contested borders.
They have no strong feelings about us one way or the other.","We have similar Social Policies. (3)
Our real approach is Friendly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,19,{},1761649000,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,"[""OpinionFrom2""]","You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"We have similar Social Policies.
They desire friendly relations with our empire.","We have similar Social Policies. (3)
Our real approach is Neutral.","We have similar Social Policies.
They desire friendly relations with our empire.","We have similar Social Policies. (3)
Our real approach is Neutral.","Our top friend: None
Our top Competitor: The Ottomans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,20,{},1761649013,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,"[""OpinionTo2""]","You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Friendly.,"Our top friend: None
Our top Competitor: Indonesia",,"We have similar Social Policies.
They desire friendly relations with our empire.
Your military deployment is threatening.","We have similar Social Policies. (3)
Our real approach is Neutral.","We have similar Social Policies.
You are not competing for technological advancement.
You have no contested borders.
They have no strong feelings about us one way or the other.","We have similar Social Policies. (3)
Our real approach is Friendly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,20,{},1761649013,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,"[""OpinionFrom1"",""OpinionTo3""]","You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"We have similar Social Policies.
You are not competing for the favor of the same City-States.
You have no contested borders.
They have no strong feelings about us one way or the other.","We have similar Social Policies. (3)
Our real approach is Friendly.","Our top friend: None
Our top Competitor: None",,"We have similar Social Policies.
You are not competing for technological advancement.
You have no contested borders.
They have no strong feelings about us one way or the other.","We have similar Social Policies. (3)
Our real approach is Friendly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,21,{},1761649030,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,"[""OpinionFrom2""]","You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"We have similar Social Policies.
They desire friendly relations with our empire.","We have similar Social Policies. (3)
Our real approach is Neutral.","We have similar Social Policies.
They desire friendly relations with our empire.
Your military deployment is threatening.","We have similar Social Policies. (3)
Our real approach is Neutral.","Our top friend: None
Our top Competitor: The Ottomans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,22,{},1761649049,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,"[""OpinionFrom0""]","Our top friend: None
Our top Competitor: Korea",,They desire friendly relations with our empire.,Our real approach is Neutral.,"You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"You are not competing for technological advancement.
You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,22,{},1761649052,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,"[""OpinionFrom2"",""OpinionFrom3""]","You have no contested borders.
They have no strong feelings about us one way or the other.",Our real approach is Neutral.,"We have similar Social Policies.
They desire friendly relations with our empire.","We have similar Social Policies. (3)
Our real approach is Neutral.","We have similar Social Policies.
They desire friendly relations with our empire.","We have similar Social Policies. (3)
Our real approach is Neutral.","Our top friend: None
Our top Competitor: None",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,24,{},1761649088,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,"[""OpinionFrom1"",""OpinionTo1"",""OpinionFrom2"",""OpinionTo2"",""OpinionFrom3"",""OpinionTo3""]","Our top friend: None
Our top Competitor: Korea",,"We have divergent Social Policies.
They desire friendly relations with our empire.","Our real approach is Neutral.
We have divergent Social Policies. (-3)","You have no contested borders.
They have no strong feelings about us one way or the other.
We have divergent Social Policies.","Our real approach is Neutral.
We have divergent Social Policies. (-3)","You are not competing for technological advancement.
You have no contested borders.
We have divergent Social Policies.
They have no strong feelings about us one way or the other.","Our real approach is Neutral.
We have divergent Social Policies. (-3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,24,{},1761649089,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,"[""OpinionFrom0"",""OpinionTo0"",""OpinionFrom1"",""OpinionTo3""]","You have no contested borders.
We have divergent Social Policies.
They have no strong feelings about us one way or the other.","Our real approach is Friendly.
We have divergent Social Policies. (-3)","Our top friend: None
Our top Competitor: The Ottomans",,"We have similar Social Policies.
They desire friendly relations with our empire.
Your military deployment is threatening.","We have similar Social Policies. (3)
Our real approach is Neutral.","We have similar Social Policies.
You are not competing for technological advancement.
You have no contested borders.
They have no strong feelings about us one way or the other.","We have similar Social Policies. (3)
Our real approach is Neutral.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,24,{},1761649090,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,"[""OpinionFrom0"",""OpinionTo0"",""OpinionTo3""]","You have no contested borders.
They have no strong feelings about us one way or the other.
We have divergent Social Policies.","Our real approach is Neutral.
We have divergent Social Policies. (-3)","We have similar Social Policies.
You are not competing for the favor of the same City-States.
You have no contested borders.
They have no strong feelings about us one way or the other.","We have similar Social Policies. (3)
Our real approach is Friendly.","Our top friend: None
Our top Competitor: None",,"We have similar Social Policies.
You are not competing for technological advancement.
You have no contested borders.
They have no strong feelings about us one way or the other.","We are trade partners. (40)
We have similar Social Policies. (3)
Our real approach is Friendly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,24,{},1761649091,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,"[""OpinionFrom0"",""OpinionTo0"",""OpinionFrom1"",""OpinionTo2""]","You have no contested borders.
We have divergent Social Policies.
They have no strong feelings about us one way or the other.","Our real approach is Neutral.
We have divergent Social Policies. (-3)","We have similar Social Policies.
You are not competing for the favor of the same City-States.
You have no contested borders.
They have no strong feelings about us one way or the other.","We have similar Social Policies. (3)
Our real approach is Neutral.","We have similar Social Policies.
They desire friendly relations with our empire.","We are trade partners. (40)
We have similar Social Policies. (3)
Our real approach is Neutral.","Our top friend: None
Our top Competitor: None",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,25,{},1761649106,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,"[""OpinionFrom1""]","Our top friend: None
Our top Competitor: Korea",,"You are not competing for the favor of the same City-States.
You have no contested borders.
We have divergent Social Policies.
They have no strong feelings about us one way or the other.","Our real approach is Neutral.
We have divergent Social Policies. (-3)","You have no contested borders.
They have no strong feelings about us one way or the other.
We have divergent Social Policies.","Our real approach is Neutral.
We have divergent Social Policies. (-3)","You are not competing for technological advancement.
You have no contested borders.
We have divergent Social Policies.
They have no strong feelings about us one way or the other.","Our real approach is Neutral.
We have divergent Social Policies. (-3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,25,{},1761649108,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,"[""OpinionTo0""]","You have no contested borders.
We have divergent Social Policies.
They have no strong feelings about us one way or the other.","Our real approach is Neutral.
We have divergent Social Policies. (-3)","Our top friend: None
Our top Competitor: The Ottomans",,"We have similar Social Policies.
They desire friendly relations with our empire.
Your military deployment is threatening.","We have similar Social Policies. (3)
Our real approach is Neutral.","We have similar Social Policies.
You are not competing for technological advancement.
You have no contested borders.
They have no strong feelings about us one way or the other.","We have similar Social Policies. (3)
Our real approach is Neutral.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,26,{},1761649122,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,"[""OpinionFrom2""]","You have no contested borders.
We have divergent Social Policies.
They have no strong feelings about us one way or the other.","Our real approach is Neutral.
We have divergent Social Policies. (-3)","Our top friend: None
Our top Competitor: The Ottomans",,"We have similar Social Policies.
They desire friendly relations with our empire.","We have similar Social Policies. (3)
Our real approach is Neutral.","We have similar Social Policies.
You are not competing for technological advancement.
You have no contested borders.
They have no strong feelings about us one way or the other.","We have similar Social Policies. (3)
Our real approach is Neutral.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,28,{},1761649177,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,"[""OpinionFrom2""]","You have no contested borders.
We have divergent Social Policies.
They have no strong feelings about us one way or the other.","Our real approach is Neutral.
We have divergent Social Policies. (-3)","Our top friend: None
Our top Competitor: The Ottomans",,"We have similar Social Policies.
They desire friendly relations with our empire.
Your military deployment is threatening.","We have similar Social Policies. (3)
Our real approach is Neutral.","We have similar Social Policies.
You are not competing for technological advancement.
You have no contested borders.
They have no strong feelings about us one way or the other.","We have similar Social Policies. (3)
Our real approach is Neutral.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,28,{},1761649178,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,"[""OpinionFrom0"",""OpinionTo0""]","We have divergent Social Policies.
They have no strong feelings about us one way or the other.","Our real approach is Friendly.
We have divergent Social Policies. (-3)","We have similar Social Policies.
You are not competing for the favor of the same City-States.
You have no contested borders.
They have no strong feelings about us one way or the other.","We have similar Social Policies. (3)
Our real approach is Friendly.","Our top friend: None
Our top Competitor: None",,"We have similar Social Policies.
You are not competing for technological advancement.
You have no contested borders.
They have no strong feelings about us one way or the other.","We are trade partners. (40)
We have similar Social Policies. (3)
Our real approach is Friendly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,29,{},1761649190,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,"[""OpinionFrom2""]","Our top friend: None
Our top Competitor: Korea",,"You are not competing for the favor of the same City-States.
You have no contested borders.
We have divergent Social Policies.
They have no strong feelings about us one way or the other.","Our real approach is Neutral.
We have divergent Social Policies. (-3)","We have divergent Social Policies.
They desire friendly relations with our empire.","Our real approach is Neutral.
We have divergent Social Policies. (-3)","You are not competing for technological advancement.
You have no contested borders.
We have divergent Social Policies.
They have no strong feelings about us one way or the other.","Our real approach is Neutral.
We have divergent Social Policies. (-3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,29,{},1761649192,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,"[""OpinionFrom1"",""OpinionFrom2"",""OpinionTo2"",""OpinionTo3""]","You have no contested borders.
We have divergent Social Policies.
They have no strong feelings about us one way or the other.","Our real approach is Neutral.
We have divergent Social Policies. (-3)","Our top friend: None
Our top Competitor: None",,"We have similar Social Policies.
They desire friendly relations with our empire.","We have similar Social Policies. (3)
Our real approach is Friendly.","We have similar Social Policies.
You are not competing for technological advancement.
You have no contested borders.
They have no strong feelings about us one way or the other.","We have similar Social Policies. (3)
Our real approach is Friendly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,29,{},1761649193,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,"[""OpinionFrom0"",""OpinionFrom1""]","You have no contested borders.
We have divergent Social Policies.
They have no strong feelings about us one way or the other.","Our real approach is Friendly.
We have divergent Social Policies. (-3)","We have similar Social Policies.
They desire friendly relations with our empire.","We have similar Social Policies. (3)
Our real approach is Friendly.","Our top friend: None
Our top Competitor: None",,"We have similar Social Policies.
You are not competing for technological advancement.
You have no contested borders.
They have no strong feelings about us one way or the other.","We are trade partners. (40)
We have similar Social Policies. (3)
Our real approach is Friendly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,29,{},1761649194,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,"[""OpinionFrom1""]","You have no contested borders.
We have divergent Social Policies.
They have no strong feelings about us one way or the other.","Our real approach is Neutral.
We have divergent Social Policies. (-3)","We have similar Social Policies.
They desire friendly relations with our empire.","We have similar Social Policies. (3)
Our real approach is Neutral.","We have similar Social Policies.
They desire friendly relations with our empire.","We are trade partners. (40)
We have similar Social Policies. (3)
Our real approach is Neutral.","Our top friend: None
Our top Competitor: None",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,34,{},1761649282,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,"[""OpinionFrom1""]","You have no contested borders.
We have divergent Social Policies.
They have no strong feelings about us one way or the other.","Our real approach is Friendly.
We have divergent Social Policies. (-3)","We have similar Social Policies.
They desire friendly relations with our empire.
Your military deployment is threatening.","We have similar Social Policies. (3)
Our real approach is Friendly.","Our top friend: None
Our top Competitor: None",,"We have similar Social Policies.
You are not competing for technological advancement.
You have no contested borders.
They have no strong feelings about us one way or the other.","We are trade partners. (40)
We have similar Social Policies. (3)
Our real approach is Friendly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,35,{},1761649304,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,"[""OpinionFrom2""]","You have no contested borders.
We have divergent Social Policies.
They have no strong feelings about us one way or the other.","Our real approach is Neutral.
We have divergent Social Policies. (-3)","Our top friend: None
Our top Competitor: None",,"We have similar Social Policies.
They desire friendly relations with our empire.
Your military deployment is threatening.","We have similar Social Policies. (3)
Our real approach is Friendly.","We have similar Social Policies.
You are not competing for technological advancement.
You have no contested borders.
They have no strong feelings about us one way or the other.","We have similar Social Policies. (3)
Our real approach is Friendly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
