ID,Turn,Payload,CreatedAt,Player0,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18,Player19,Player20,Player21,PlayerID,ZoneID,Territory,Dominance,Domain,Posture,AreaID,City,CenterX,CenterY,Plots,Value,FriendlyStrength,EnemyStrength,NeutralStrength,Neighbors,Units
19,9,{},1761648815,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033,Neutral,Friendly,Land,Exploit Flanks,1,Ormus,10,17,32,48,5360,0,1316,"[-1033,1029,100000,-1037,-100001]","{""The Ottomans"":{""Pathfinder"":1}}"
20,10,{},1761648837,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,Friendly,Friendly,Land,Counterattack,1,Istanbul,7,10,51,66,2500,0,0,"[-1029,1040,1033,100000]","{""The Ottomans"":{""Warrior"":1}}"
21,10,{},1761648837,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033,Neutral,Friendly,Land,Exploit Flanks,1,Ormus,10,17,32,24,5626,0,1316,"[-1033,1029,100000,-1037,-100001]","{""Korea"":{""Scout"":1},""The Ottomans"":{""Pathfinder"":1}}"
22,11,{},1761648850,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,Friendly,Friendly,Land,Counterattack,1,Istanbul,7,10,51,66,3833,0,0,"[-1029,1040,1033,100000]","{""The Ottomans"":{""Warrior"":1}}"
23,11,{},1761648850,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,Neutral,No Units,Land,Exploit Flanks,1,,11,10,11,3,0,0,0,"[1040,1029,1033,-100001]","{""The Ottomans"":{""Pathfinder"":1}}"
24,12,{},1761648873,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,Friendly,Friendly,Land,Counterattack,1,Istanbul,7,10,51,66,5166,0,0,"[-1029,1040,1033,100000]","{""Korea"":{""Scout"":1},""The Ottomans"":{""Warrior"":1}}"
25,12,{},1761648873,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,Neutral,Friendly,Land,Exploit Flanks,1,,12,10,15,3,1600,0,0,"[1040,1029,1033,-100001]","{""The Ottomans"":{""Pathfinder"":1}}"
26,13,{},1761648885,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,Friendly,Friendly,Land,Counterattack,1,Istanbul,7,10,51,60,2500,0,0,"[-1029,1040,1033,100000]","{""The Ottomans"":{""Warrior"":1}}"
27,13,{},1761648885,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,Neutral,Friendly,Land,Exploit Flanks,1,,12,10,15,3,4266,0,0,"[1040,1029,1033,-100001,1032]","{""Korea"":{""Scout"":1},""The Ottomans"":{""Pathfinder"":1}}"
28,14,{},1761648909,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Friendly,Land,Exploit Flanks,0,,0,0,0,3,14229,0,0,{},"{""Korea"":{""Scout"":1}}"
29,14,{},1761648909,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,Neutral,Friendly,Land,Exploit Flanks,1,,12,9,25,3,1600,0,0,"[1040,1029,1033,1032,-100001]","{""The Ottomans"":{""Warrior"":1,""Pathfinder"":1}}"
30,15,{},1761648922,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Friendly,Land,Exploit Flanks,0,,0,0,0,3,14736,0,0,{},"{""Korea"":{""Scout"":1}}"
31,15,{},1761648922,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,Neutral,Friendly,Land,Exploit Flanks,1,,12,8,35,3,3200,0,0,"[1040,1029,1033,1032,-100001]","{""The Ottomans"":{""Warrior"":1,""Pathfinder"":1}}"
32,16,{},1761648938,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,Neutral,Friendly,Land,Exploit Flanks,1,Geneva,5,6,18,48,3173,0,1324,"[-1040,1029,100000]","{""Korea"":{""Scout"":1}}"
33,16,{},1761648938,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,Neutral,Friendly,Land,Exploit Flanks,1,,12,7,45,3,3200,0,0,"[1040,1029,1033,1032,-100001]","{""The Ottomans"":{""Warrior"":1,""Pathfinder"":1}}"
34,17,{},1761648953,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100001,Neutral,Friendly,Land,Exploit Flanks,1,,12,7,50,3,3200,0,0,"[1040,-100000,1029,1033,1032,-100002]","{""The Ottomans"":{""Warrior"":1,""Pathfinder"":1}}"
35,18,{},1761648968,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Friendly,Land,Exploit Flanks,0,,0,0,0,3,15378,0,0,{},"{""The Ottomans"":{""Pathfinder"":1}}"
36,18,{},1761648968,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100001,Neutral,Friendly,Land,Exploit Flanks,1,,12,6,55,3,3200,0,0,"[1040,-100000,1029,1033,1032,-100002]","{""The Ottomans"":{""Warrior"":1}}"
37,19,{},1761648997,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039,Neutral,Friendly,Land,Exploit Flanks,1,Nippur,18,3,9,24,1173,0,1516,"[100001,-1039,1032]","{""The Ottomans"":{""Pathfinder"":1}}"
38,19,{},1761648997,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100001,Neutral,Friendly,Land,Exploit Flanks,1,,12,6,57,3,3200,0,0,"[1040,-100000,1029,1033,1032,-100002,1039]","{""The Ottomans"":{""Warrior"":1}}"
39,20,{},1761649012,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032,Neutral,Friendly,Land,Attrition,1,Seoul,16,8,25,33,2126,0,1100,"[100001,-1032,1039]","{""The Ottomans"":{""Pathfinder"":1}}"
40,20,{},1761649012,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100001,Neutral,Friendly,Land,Exploit Flanks,1,,12,6,57,3,4800,0,0,"[1040,-100000,1029,1033,1032,-100002,1039]","{""The Ottomans"":{""Warrior"":1}}"
41,21,{},1761649027,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032,Neutral,Friendly,Land,Attrition,1,Seoul,17,8,36,33,6338,0,1100,"[100001,-1032,1039]","{""The Ottomans"":{""Pathfinder"":1}}"
42,21,{},1761649027,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100001,Neutral,Friendly,Land,Exploit Flanks,1,,12,6,57,3,3200,0,0,"[1040,-100000,1029,1033,1032,-100002,1039]","{""Venice"":{""Pathfinder"":1},""The Ottomans"":{""Warrior"":1}}"
43,22,{},1761649049,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039,Neutral,Friendly,Land,Exploit Flanks,1,Nippur,19,4,25,24,1925,0,1516,"[100001,-1039,1032]","{""City-State Nippur"":{""Warrior"":1},""The Ottomans"":{""Pathfinder"":1}}"
44,22,{},1761649049,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100001,Neutral,Friendly,Land,Exploit Flanks,1,,12,6,57,3,2800,0,0,"[1040,-100000,1029,1033,1032,-100002,1039]","{""The Ottomans"":{""Warrior"":1}}"
45,23,{},1761649072,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Friendly,Land,Exploit Flanks,0,,0,0,0,3,17806,0,0,{},"{""City-State Dublin"":{""Warrior"":1},""The Ottomans"":{""Pathfinder"":1}}"
46,23,{},1761649072,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100001,Neutral,Friendly,Land,Exploit Flanks,1,,12,6,57,3,1600,0,0,"[1040,-100000,1029,1033,1032,-100002,1039]","{""Barbarians"":{""Brute"":1},""The Ottomans"":{""Warrior"":1}}"
47,24,{},1761649088,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Friendly,Land,Exploit Flanks,0,,0,0,0,3,15610,0,0,{},"{""Barbarians"":{""Brute"":1},""Korea"":{""Warrior"":1}}"
48,24,{},1761649088,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031,Neutral,Friendly,Land,Attrition,1,Jakarta,26,10,4,33,4601,0,1100,"[1032,1034]","{""The Ottomans"":{""Pathfinder"":1}}"
49,24,{},1761649088,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100001,Neutral,Friendly,Land,Exploit Flanks,1,,12,6,57,3,1600,0,0,"[1040,-100000,1029,1033,1032,-100002,1039]","{""Barbarians"":{""Brute"":1},""The Ottomans"":{""Warrior"":1}}"
50,24,{},1761649088,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100003,Neutral,No Units,Land,Exploit Flanks,1,,24,13,1,3,0,0,0,{},"{""Barbarians"":{""Brute"":1}}"
51,25,{},1761649107,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Friendly,Land,Exploit Flanks,0,,0,0,0,3,16554,0,0,{},"{""Korea"":{""Slinger"":1},""Barbarians"":{""Brute"":1},""The Ottomans"":{""Pathfinder"":1}}"
52,25,{},1761649107,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032,Neutral,Friendly,Land,Attrition,1,Seoul,18,9,48,27,3190,0,1100,"[100001,-1032,1039,1034,100002,1031]","{""Korea"":{""Slinger"":2}}"
53,25,{},1761649107,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100001,Neutral,Friendly,Land,Exploit Flanks,1,,12,6,57,3,1376,0,0,"[1040,-100000,1029,1033,1032,-100003,1039]","{""The Ottomans"":{""Warrior"":1}}"
54,25,{},1761649107,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100002,Neutral,Friendly,Land,Exploit Flanks,1,,25,13,7,3,1504,0,0,"[1032,1031]","{""Barbarians"":{""Brute"":1},""Korea"":{""Warrior"":1}}"
55,26,{},1761649121,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032,Neutral,Friendly,Land,Attrition,1,Seoul,19,9,58,27,6078,0,1100,"[100001,-1032,1039,1034,100002,1031]","{""Korea"":{""Slinger"":1},""The Ottomans"":{""Pathfinder"":1}}"
56,26,{},1761649121,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100001,Neutral,Friendly,Land,Exploit Flanks,1,,12,6,57,3,1344,0,0,"[1040,-100000,1029,1033,1032,-100003,1039]","{""The Ottomans"":{""Warrior"":1}}"
57,27,{},1761649148,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,Friendly,Friendly,Land,Counterattack,1,Istanbul,7,10,51,60,2500,0,0,"[-1029,1040,1033,100001]","{""Venice"":{""Pathfinder"":1},""The Ottomans"":{""Pathfinder"":1}}"
58,27,{},1761649148,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032,Neutral,Friendly,Land,Attrition,1,Seoul,19,9,61,27,7099,0,1100,"[100001,-1032,1039,1034,100002,1031]","{""Korea"":{""Slinger"":3},""The Ottomans"":{""Pathfinder"":1}}"
59,27,{},1761649148,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100001,Neutral,Friendly,Land,Exploit Flanks,1,,12,6,57,3,1616,0,0,"[1040,-100000,1029,1033,1032,-100003,1039]","{""The Ottomans"":{""Warrior"":1}}"
60,27,{},1761649148,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100002,Neutral,Friendly,Land,Exploit Flanks,1,,24,13,11,3,938,0,0,"[1032,-100005,1031]","{""Barbarians"":{""Brute"":2},""Korea"":{""Warrior"":1}}"
61,28,{},1761649174,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,Friendly,Friendly,Land,Counterattack,1,Istanbul,7,10,51,60,4100,0,0,"[-1029,1040,1033,100001]","{""Venice"":{""Pathfinder"":1},""The Ottomans"":{""Pathfinder"":1}}"
62,28,{},1761649174,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031,Neutral,Friendly,Land,Attrition,1,Jakarta,27,11,23,33,5304,0,1100,"[1032,100002,1034]","{""Korea"":{""Scout"":1}}"
63,28,{},1761649174,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032,Neutral,Friendly,Land,Attrition,1,Seoul,19,9,61,27,5509,0,1100,"[100001,-1032,1039,1034,100002,1031]","{""Korea"":{""Slinger"":1}}"
64,28,{},1761649174,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100001,Neutral,Friendly,Land,Exploit Flanks,1,,12,6,57,3,1664,0,0,"[1040,-100000,1029,1033,1032,-100003,1039]","{""Barbarians"":{""Brute"":1},""The Ottomans"":{""Warrior"":1}}"
65,28,{},1761649174,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100002,Neutral,Friendly,Land,Exploit Flanks,1,,24,13,11,3,3338,0,0,"[1032,-100005,1031]","{""Korea"":{""Warrior"":1,""Slinger"":1},""Barbarians"":{""Brute"":2},""The Ottomans"":{""Pathfinder"":1}}"
66,29,{},1761649191,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Friendly,Land,Exploit Flanks,0,,0,0,0,3,14326,0,0,{},"{""Indonesia"":{""Warrior"":1,""Slinger"":1},""Venice"":{""Warrior"":1}}"
67,29,{},1761649191,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,Friendly,Friendly,Land,Counterattack,1,Istanbul,7,10,51,60,2500,0,0,"[-1029,1040,1033,100001]","{""The Ottomans"":{""Pathfinder"":1}}"
68,29,{},1761649191,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031,Neutral,Friendly,Land,Attrition,1,Jakarta,27,11,23,33,2728,0,1100,"[1032,100002,1034]","{""The Ottomans"":{""Pathfinder"":1}}"
69,29,{},1761649191,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100001,Neutral,Friendly,Land,Exploit Flanks,1,,12,6,57,3,3232,0,0,"[1040,-100000,1029,1033,1032,-100003,1039]","{""Indonesia"":{""Pathfinder"":1},""Barbarians"":{""Brute"":1},""The Ottomans"":{""Warrior"":1}}"
70,30,{},1761649207,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Friendly,Land,Exploit Flanks,0,,0,0,0,3,12772,0,0,{},"{""Venice"":{""Warrior"":1}}"
71,30,{},1761649207,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,Friendly,Friendly,Land,Counterattack,1,Istanbul,7,10,51,60,2500,0,0,"[-1029,1040,1033,100001]","{""The Ottomans"":{""Pathfinder"":1}}"
72,30,{},1761649207,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100001,Neutral,Friendly,Land,Exploit Flanks,1,,12,6,57,3,2664,0,0,"[1040,-100000,1029,1033,1032,-100003,1039]","{""The Ottomans"":{""Warrior"":1}}"
73,30,{},1761649207,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100002,Neutral,Friendly,Land,Exploit Flanks,1,,26,14,17,3,5880,0,0,"[1032,-100005,1031]","{""Korea"":{""Scout"":1},""The Ottomans"":{""Pathfinder"":1}}"
74,31,{},1761649222,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Friendly,Land,Exploit Flanks,0,,0,0,0,3,13714,0,0,{},"{""The Ottomans"":{""Pathfinder"":1}}"
75,31,{},1761649222,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,Friendly,Friendly,Land,Counterattack,1,Istanbul,7,10,51,60,3276,0,0,"[-1029,1040,1033,100001]","{""The Ottomans"":{""Slinger"":1}}"
76,31,{},1761649222,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031,Neutral,Friendly,Land,Attrition,1,Jakarta,28,12,42,33,4633,0,1100,"[1032,100002,1034]","{""Korea"":{""Scout"":1}}"
77,31,{},1761649222,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,Neutral,Friendly,Land,Exploit Flanks,1,Geneva,6,5,24,42,1173,0,1332,"[-1040,1029,-100000,100001]","{""The Ottomans"":{""Pathfinder"":1}}"
78,31,{},1761649222,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100001,Neutral,Friendly,Land,Exploit Flanks,1,,12,6,57,3,1488,0,0,"[1040,-100000,1029,1033,1032,-100003,1039]","{""The Ottomans"":{""Warrior"":1}}"
79,32,{},1761649242,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Friendly,Land,Exploit Flanks,0,,0,0,0,3,12878,0,0,{},"{""The Ottomans"":{""Pathfinder"":1}}"
80,32,{},1761649242,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,Friendly,Friendly,Land,Counterattack,1,Istanbul,7,10,51,60,3974,0,0,"[-1029,1040,1033,100001]","{""The Ottomans"":{""Slinger"":1}}"
81,32,{},1761649242,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,Neutral,Friendly,Land,Exploit Flanks,1,Geneva,6,5,28,42,3360,0,1340,"[-1040,1029,-100000,100001]","{""Barbarians"":{""Brute"":1},""The Ottomans"":{""Pathfinder"":1}}"
82,32,{},1761649242,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100001,Neutral,Friendly,Land,Exploit Flanks,1,,12,6,57,3,1552,0,0,"[1040,-100000,1029,1033,1032,-100003,1039]","{""Barbarians"":{""Brute"":1},""The Ottomans"":{""Warrior"":1}}"
83,33,{},1761649260,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Friendly,Land,Exploit Flanks,0,,0,0,0,3,13034,0,0,{},"{""Barbarians"":{""Brute"":1},""The Ottomans"":{""Pathfinder"":1}}"
84,33,{},1761649260,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,Friendly,Friendly,Land,Counterattack,1,Istanbul,7,10,51,60,4366,0,0,"[-1029,1040,1033,100001]","{""The Ottomans"":{""Slinger"":1}}"
85,33,{},1761649260,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,Neutral,Friendly,Land,Exploit Flanks,1,Geneva,6,5,29,42,2852,0,1340,"[-1040,1029,-100000,100001]","{""The Ottomans"":{""Pathfinder"":1}}"
86,33,{},1761649260,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100001,Neutral,Friendly,Land,Exploit Flanks,1,,12,6,57,3,2800,0,0,"[1040,-100000,1029,1033,1032,-100003,1039]","{""The Ottomans"":{""Warrior"":1}}"
87,34,{},1761649280,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Friendly,Land,Exploit Flanks,0,,0,0,0,3,15147,0,0,{},"{""Indonesia"":{""Warrior"":1},""Venice"":{""Slinger"":1},""The Ottomans"":{""Pathfinder"":1}}"
88,34,{},1761649280,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,Friendly,Friendly,Land,Counterattack,1,Istanbul,7,10,51,60,5090,0,0,"[-1029,1040,1033,100001]","{""The Ottomans"":{""Slinger"":2}}"
89,34,{},1761649280,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031,Neutral,Friendly,Land,Attrition,1,Jakarta,29,12,46,33,4406,0,1400,"[1032,100002,1034,1035]","{""Barbarians"":{""Brute"":1}}"
90,34,{},1761649280,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,Neutral,Friendly,Land,Exploit Flanks,1,Geneva,6,5,29,42,3216,0,1340,"[-1040,1029,-100000,100001]","{""The Ottomans"":{""Pathfinder"":1}}"
91,34,{},1761649280,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100001,Neutral,Friendly,Land,Exploit Flanks,1,,12,6,57,3,2682,0,0,"[1040,-100000,1029,1033,1032,-100003,1039]","{""Barbarians"":{""Brute"":2},""The Ottomans"":{""Warrior"":1}}"
92,35,{},1761649303,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Friendly,Land,Exploit Flanks,0,,0,0,0,3,15453,0,0,{},"{""Indonesia"":{""Slinger"":1}}"
