ID,Turn,Payload,CreatedAt,Player0,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18,Player19,Player20,Player21,Key,Version,IsLatest,Changes,Technology,Rationale
11,52,{},1761649661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,"[""Technology"",""Rationale""]",Construction,"Choosing Construction after Iron Working completes to secure our expansion. Walls will strengthen city defenses as we expand territory, while Quarries provide production to build the military forces needed for our conquest strategy. This defensive preparation is crucial while we build up to Swordsmen and expand to our third city."
12,59,{},1761649838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,"[""Rationale""]",Construction,"Continuing with Construction as planned. Walls are crucial for defending our cities, especially as we prepare for potential conflict with Indonesia who has superior military resources. Quarries will boost production to support our military buildup and infrastructure development. This tech provides both defensive security and economic strength for our conquest strategy."
13,61,{},1761649938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,"[""Technology"",""Rationale""]",Masonry,"Masonry is critical after Construction for several reasons: 1) It leads to Engineering which will boost our production capabilities, 2) Arena provides our first source of Tourism and production bonuses for other buildings, 3) It supports our siege warfare focus by enabling better city defenses, and 4) Works toward Metal Casting which will be essential for countering Indonesia's iron advantage with better military units."
14,62,{},1761649959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,"[""Rationale""]",Masonry,"Masonry remains the optimal next technology. It leads to Engineering for better production, provides the Arena building for Tourism bonuses, and works toward Metal Casting to counter Indonesia's iron advantage. Since our Construction research is nearing completion, Masonry will enhance our siege warfare capabilities and city defenses while providing long-term infrastructure benefits."
15,69,{},1761650083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,"[""Technology"",""Rationale""]",Metal Casting,"With Masonry finishing in 2 turns and our conquest strategy, Metal Casting is the optimal choice. It leads to Steel for superior military units and Physics for important scientific progression. This will help us overcome Indonesia's iron advantage (4 vs 3) through better unit types rather than sheer numbers."
16,73,{},1761650172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,"[""Technology"",""Rationale""]",Fishing,"Fishing provides crucial early-game advantages for our coastal empire. Enables work boats to harvest maritime resources (we have coastal cities), allows unit embarkation for amphibious operations against Indonesia's coastal cities, and leads to Sailing for naval expansion. Supports our conquest strategy by giving us more tactical flexibility around the Indonesian archipelago."
17,87,{},1761650476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,"[""Technology"",""Rationale""]",Trapping,"Researching Trapping to secure Camp improvements for Deer/Ivory/Fur/Truffles resources. This will provide early economic benefits through improved tile yields and lead toward Trade/Calendar technologies that support our long-term development. Given our negative gold per turn situation, improving resource output is crucial, and camps provide good food/gold combinations."
18,93,{},1761650588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,"[""Technology"",""Rationale""]",Trade,"Critical need for gold income to resolve -5 GPT deficit. Trade unlocks Caravans and Markets, which with our unique ability (+150 Food/Science from International routes, Gold/Culture from Internal) will significantly boost economy. Also leads to Writing for Libraries, supporting our growth needs."
19,95,{},1761650637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,"[""Technology"",""Rationale""]",Sailing,"Researching Sailing after completing Trade to unlock Lighthouses for coastal cities (Istanbul and Edirne) and Cargo Ships for sea trade routes. This will boost our gold/food/science generation from trade routes and improve coastal city development. The Mausoleum of Halicarnassus makes trade routes particularly valuable, and sailing is a prerequisite for key Classical/Medieval technologies."
20,98,{},1761650697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,"[""Rationale""]",Sailing,"Continuing with Sailing as planned to unlock Lighthouses for coastal cities (Istanbul and Edirne) and Cargo Ships for sea trade routes. This will boost our gold/food/science generation from trade routes and improve coastal city development. Our unique ability makes international trade routes particularly valuable (+150 Food/Science), and sailing is essential for Classical/Medieval progress."
21,99,{},1761650737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,"[""Technology"",""Rationale""]",Calendar,"Researching Calendar after Sailing to unlock Plantations on luxury resources. This is crucial for happiness and growth, which are both essential for sustained conquest. We have several luxury resources nearby that need Plantations, and the +2 Food/Gold from improved luxuries will support our expansion strategy. Calendar also leads to Mathematics for stronger catapults and siege warfare."
22,103,{},1761650816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,"[""Technology"",""Rationale""]",Mathematics,"With Korea planning war against us and barbarian threats, Mathematics is essential for building Skirmishers and improving our military strength. The Skirmisher mobility will help counter Korean plans and the Engineering path will enhance our infrastructure for long-term conquest. Writing can wait as we need immediate military capabilities."
23,106,{},1761650889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,"[""Technology"",""Rationale""]",Engineering,"Choosing Engineering over Writing due to impending Korean threat. Engineering provides critical defensive infrastructure (Forts) to strengthen border positions, Aqueducts to support population growth for larger military capacity, and bridges for improved unit mobility. These defensive benefits are essential now that Korea is 'Planning War' and our military posture is EmpireDefense. Writing's Library bonus would be nice for long-term science but is secondary to immediate survival needs."
24,107,{},1761650906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,"[""Technology"",""Rationale""]",Writing,"Choosing Writing to build Libraries and boost our science output. With Engineering completed, we need to improve our research rate to keep pace with technologically advanced Korea. Libraries will provide essential science infrastructure for our 4 cities, while embassies will improve diplomatic visibility. The science boost is critical for maintaining technological parity as we prepare for potential Korean aggression."
25,110,{},1761650967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,"[""Technology"",""Rationale""]",Philosophy,Researching Philosophy next to unlock Temples for faith generation and Courthouses to reduce unhappiness from conquered cities. This supports our conquest strategy by religious infrastructure and maintaining happiness during expansion. Philosophy also enables Education path toward critical science buildings. Current 25 science/turn will complete this efficiently after Writing finishes.
26,112,{},1761651027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,"[""Rationale""]",Philosophy,"Continue with Philosophy research to unlock Temples for faith generation and Courthouses for happiness management in conquered cities. This directly supports our conquest strategy by providing religious infrastructure and maintaining stability during expansion. At 27 science/turn, this research will complete efficiently after Writing."
27,114,{},1761651068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,"[""Technology"",""Rationale""]",Engineering,"Engineering provides critical infrastructure for conquest through Aqueducts (supporting city growth and population), bridges for improved military mobility across rivers, and leads to Steel for advanced military units. This supports our current Conquest strategy while addressing the growth needs of our expanding empire, especially important with new cities like Konya and our ongoing military buildup against the Korean threat."
28,120,{},1761651208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,"[""Technology"",""Rationale""]",Steel,"With Korea showing 'Planning War' stance and our conquest strategy ongoing, Steel provides critical military upgrades. Longswordsman offers offensive superiority over current Swordsmen, and Armory accelerates unit experience gains. This technology directly enhances our invasion capabilities while fitting perfectly with our Golden Age production boost and WarMobilization strategy."
29,124,{},1761651287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,"[""Rationale""]",Steel,"With Korea's 'Planning War' stance confirmed and our conquest strategy ongoing, Steel is critical for military superiority. Longswordsman will provide significant offensive advantage over current Swordsmen, and the Armory building will accelerate unit experience gains. This directly supports our WarMobilization strategy and Golden Age production boost, preparing us for the inevitable Korean conflict."
30,125,{},1761651314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,"[""Rationale""]",Steel,"Steel research remains critical for Longswordsman production to counter Korea's 'Planning War' stance. With 4 Iron resources available and Golden Age production bonus, upgrading from Swordsmen to Longswordsman will provide decisive military advantage. This directly supports our Conquest strategy and WarMobilization economic approach."
31,128,{},1761651367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,"[""Technology"",""Rationale""]",Currency,"Researching Currency after Steel will provide the Caravansary building to boost land trade route range and value, plus additional trade route slot. This supports economic growth during continued war campaign and enhances our unique Ottoman trade route ability (+150 Food/Science for international routes). Village improvements will also increase gold generation to fund military operations."
32,130,{},1761651436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,"[""Rationale""]",Currency,"Currency research is critical to address our negative gold income (-10 GPT). The Caravansary building will boost land trade route value and range, while granting an additional trade route slot. This synergizes perfectly with Ottoman unique ability (+150 Food/Science for international routes) and will help fund continued military operations against Korea. Village improvements will increase gold generation to resolve our treasury deficit."
33,137,{},1761651599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,"[""Rationale""]",Currency,"Currency research (2 turns from Steel) is still urgently needed to address our worsening -5 GPT deficit. The Caravansary building will boost land trade route value and provide an additional trade route slot, synergizing with Ottoman unique ability for +150 Food/Science on international routes. This will help stabilize our treasury and fund continued military operations against Korea despite the deepening financial crisis."
34,138,{},1761651626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,"[""Technology"",""Rationale""]",Physics,"Critical need for siege weapons to break Korean defenses and potentially end the costly war faster. Trebuchets provide significant advantage against cities while being more cost-effective than multiple standard units. With our financial crisis worsening (-5 GPT), accelerating war conclusion is essential to reduce military expenses. Physics also leads to Machinery for further military improvements."
35,145,{},1761651785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,"[""Technology"",""Rationale""]",Machinery,"Continuing research toward Machinery for Crossbowmen is optimal for our Korean campaign. While Physics leads to Trebuchets, getting Crossbowmen first provides stronger ranged support without the technological leap requirement. Crossbowmen (14 ranged strength vs Composite Bowman's 9) will significantly improve our siege capabilities against Korean cities, especially with our new Siege Foundry bonus. This maintains war momentum while we work toward better siege units later."
36,148,{},1761651896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,"[""Rationale""]",Machinery,"Continuing research toward Machinery for Crossbowmen is critical for our Korean campaign. Crossbowmen (14 ranged strength vs Composite Bowman's 9) will significantly improve our siege capabilities against defended Korean cities like Jeonju and Busan. While Physics provides foundation for Trebuchets, getting Crossbowmen first gives us stronger ranged support more quickly, maintaining war momentum. Our Siege Foundry bonus and existing army will benefit greatly from this firepower upgrade."
37,149,{},1761651919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,"[""Rationale""]",Machinery,"Machinery continues to be our top priority as Crossbowmen (14 ranged strength vs Composite Bowman's 9) will dramatically improve our siege capabilities against Korean cities. Jeonju and Busan remain strongly defended, and the firepower upgrade from Crossbowmen will be decisive in breaking these stalemates. While Physics provides the foundation for Trebuchets, Crossbowmen give us immediate combat superiority to maintain war momentum. Our Siege Foundry bonus will make these units even more effective."
38,151,{},1761651969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,"[""Technology"",""Rationale""]",Drama and Poetry,"Choosing Drama and Poetry to unlock Amphitheaters for additional Culture generation. This will help accelerate our policy acquisition (currently at 37% for Cultural Victory consideration) while also providing Great Work slots. The happiness from cultural buildings will address our 42% happiness situation, and this technology leads to Education which we'll need for Science capabilities. Given we just made peace with Korea and have 10 turns of peace treaty, focusing on cultural development while we rebuild our military for the next confrontation is optimal timing."
39,161,{},1761652223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,"[""Technology"",""Rationale""]",Education,"Education is the optimal choice now that Machinery is complete. Universities will boost Science output significantly (currently 102 SPT), accelerating our technological advantage over Korea. Education also enables Research Agreements which could be valuable with Indonesia/Venice. Science lead translates to better military units and infrastructure for conquest. We're in Medieval Era and strong Science positioning will help us reach key military and economic technologies faster for the upcoming war with Korea."
40,164,{},1761652291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,"[""Technology"",""Rationale""]",Chivalry,"With Education completing in ~4-5 turns and peace treaty with Korea expiring in ~8-10 turns, Chivalry is the optimal next technology. Knights will provide crucial mobile power and siege complement to our existing Longswordsman-Crossbowman-Trebuchet core. Castles will significantly boost city defenses across our empire, particularly important for newly settled Diyarbakir and vulnerable coastal cities. The timing perfectly aligns with our war preparations against Korea, ensuring stronger siege capabilities and mobile force projection when hostilities resume."
41,169,{},1761652446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,"[""Technology"",""Rationale""]",Compass,Need to prioritize Gunpowder research path for Janissaries (Ottoman unique Musketman replacement) before war with Korea resumes. Compass provides additional trade route to boost economy while progressing toward Gunpowder. Janissaries will be critical for breaking through Korean fortifications and the new harbor building supports naval operations against coastal Korean cities.
42,170,{},1761652466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,"[""Rationale""]",Compass,"Continuing toward Gunpowder for Janissaries. Despite current Chivalry research, Compass provides additional trade route (+23 GPT potential) for economy and Harbor building for naval operations against Korea. Janissaries will be decisive when peace treaty expires - they'll replace current Longswordsmen and provide the technological edge needed against Korean fortified positions."
43,174,{},1761652559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,"[""Technology"",""Rationale""]",Gunpowder,"Progressing toward Gunpowder unlocks our Janissary unique unit which replaces Musketman. With Korea isolated and weakened (losing to Indonesia), securing this military advantage will be decisive for our conquest strategy. The timing aligns perfectly with our positioned forces ready for offensive operations once peace treaty expires. Janissaries will provide superior firepower for the final push against Korean cities."
44,181,{},1761652741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,"[""Technology"",""Rationale""]",Chemistry,"Choosing Chemistry as next research after Gunpowder to support continued conquest. Grocers will boost city growth essential for military production and unit support, while Chemistry leads to Navigation and Metallurgy which will strengthen our naval capabilities and access to better military units for the final push against Korea and potential future conflicts."
45,181,{},1761652911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,"[""Rationale""]",Chemistry,Continuing optimal conquest strategy against Korea. Chemistry provides Grocers for city growth and leads to Navigation/Metallurgy for enhanced military capabilities. This supports our war effort by improving our economic foundation while preparing for stronger naval and land forces. Theology would provide happiness benefits but Chemistry better serves our immediate conquest goals.
46,194,{},1761653357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,"[""Technology"",""Rationale""]",Metallurgy,"Continuing our military advancement to support Indonesia's conquest of Korea. Metallurgy provides Lancers which will be crucial mobile units to complement our Janissaries and Cannons. With Korea already weakened (66% war weariness) and Indonesia dominating the war, this tech will help us provide better military support while protecting our interests against potential Venice involvement if diplomatic situation deteriorates."
47,197,{},1761653462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,"[""Rationale""]",Metallurgy,"Continuing our military tech progression to support Indonesia's conquest of Korea. Metallurgy unlocks Lancers which will provide crucial mobile cavalry to complement our Janissaries and Cannons. With Korea suffering 69% war weariness and losing badly to Indonesia, this tech timing is perfect to potentially join the war if needed or provide stronger deterrent against Venice involvement. Lancers will also improve our strategic mobility for the upcoming conquest phase against remaining targets."
48,204,{},1761653656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,"[""Rationale""]",Metallurgy,"Continuing military tech progression is crucial as Indonesia systematically dismantles Korea. Metallurgy unlocks Lancers which will provide essential mobile cavalry to complement our strong Janissary and Cannon forces. With Korea at 81% war weariness and losing badly, this timing positions us to either join the war decisively or provide stronger deterrence against Venice intervention. Lancers will improve our strategic mobility for the upcoming conquest phase against remaining targets."
49,207,{},1761653721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,"[""Rationale""]",Metallurgy,"Continuing Metallurgy research for better military units. This aligns with our conquest strategy and will provide access to superior military technologies for our ongoing wars against Korea and Venice. While Indonesia does the heavy lifting against Korea, better units will help us capture cities before Indonesia does and prepare for future conflicts."
50,210,{},1761653821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,"[""Rationale""]",Metallurgy,"Continuing Metallurgy is crucial as it unlocks better military units including our Janissary upgrade path and improved siege equipment. With Indonesia rapidly conquering Korean cities and us facing severe happiness penalties, we need superior military technology to capture remaining Korean cities quickly before Indonesia takes them all. Better units will also prepare us for the inevitable Venice conflict due to their defensive pact with Korea."
51,217,{},1761653983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,"[""Technology"",""Rationale""]",Astronomy,Critical need for naval superiority and strategic mobility. Indonesian Djongs threaten our coastal operations and we need ocean crossing capability to reach Korean cities faster. Astronomy unlocks Observatory for Science boost and leads to Navigation for advanced naval units that can counter Indonesian naval threats while supporting our rapid conquest of remaining Korean cities.
52,218,{},1761654012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,"[""Rationale""]",Astronomy,"Astronomy remains essential - we just captured Busan and need ocean crossing capability to reach remaining Korean cities faster than Indonesia. Indonesian Djongs threaten our coastal operations, and the Observatory Science boost will support our tech progression. Navigation (follow-on tech) will provide advanced naval units to counter Djongs while supporting rapid conquest."
53,219,{},1761654032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,"[""Technology"",""Rationale""]",Navigation,Critical for naval superiority against Indonesia's Djongs and Venice. Frigates and Corvettes will give us the firepower needed to control sea lanes and protect our coastal conquest. Also provides Bastion Forts for stronger city defenses during continued expansion. Indonesia already has coastal presence and naval power is essential for our conquest victory.
54,224,{},1761654187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,"[""Technology"",""Rationale""]",Rifling,"Critical military upgrade for Indonesia confrontation. With Navigation completed, Rifling provides Fusiliers - superior frontline infantry that will be essential for both offensive operations against Indonesian cities and defensive operations against their mounted units. Indonesia has fielded Knights and other mounted forces that current Janissaries struggle against. Fusiliers will give us the combat edge needed in the multi-front war situation. This supports our conquest strategy against the dominant Indonesian civilization that controls 50% of capitals."
55,231,{},1761654398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,"[""Rationale""]",Rifling,"Military technology upgrade critical for Indonesia war. With Navigation research complete, Rifling provides Fusiliers - superior frontline infantry that will counter Indonesian Knights and give us combat advantage. Indonesia is fielding advanced units (Cannons, Heavy Skirmishers) and we need the next tier of military tech to compete effectively. This supports our conquest strategy against the dominant Indonesian civilization that controls 50% of capitals and has superior diplomatic position."
56,232,{},1761654447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,"[""Technology"",""Rationale""]",Military Science,"Military Science provides crucial cavalry units which will be highly effective against Indonesia's current forces and help us maintain offensive momentum. The Military Academy will boost experience for our units, making them more effective in battle. This directly supports our conquest strategy against Indonesia while we have them in a weakened state before their Golden Age advantages fully kick in."
57,233,{},1761654477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,"[""Rationale""]",Military Science,Continuing with Military Science is critical - we need Cavalry units to counter Indonesia's numerical advantage near Seoul where they have 661 strength vs our 477. The Military Academy will provide experience bonuses to sustain our war effort. This directly supports our conquest strategy against Indonesia which controls 50% of capitals and poses an existential threat.
58,237,{},1761654859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,"[""Rationale""]",Military Science,"Continuing with Military Science is critical for our conquest strategy against Indonesia. We need Cavalry units to counter their numerical advantage, especially near Seoul where enemy strength (820) still exceeds ours (580). The Military Academy will provide crucial experience bonuses to sustain our war effort. This directly supports our goal of conquering Indonesia to prevent their domination victory."
59,238,{},1761654888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,"[""Rationale""]",Military Science,"Military Science is absolutely essential for our war with Indonesia. We need Cavalry units to counter their numerical advantage in the Seoul theater where enemy strength (816) exceeds ours (344). The Military Academy will provide crucial combat experience bonuses to sustain our war effort and reduce attrition. With Indonesia at 50% domination victory, we cannot afford technological stagnation - this directly supports our conquest strategy to prevent Indonesia's victory."
60,242,{},1761655020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,"[""Rationale""]",Military Science,"Military Science remains absolutely critical despite recent combat losses. We need Cavalry units to break the stalemate at Seoul where Indonesia holds 50% domination victory territory. The Military Academy will provide crucial combat experience bonuses that will reduce attrition and help maintain our war effort. With Indonesia holding both Jakarta and Seoul, we cannot afford any delay in military technological advancement - this directly counters their numerical advantage and supports our conquest strategy to prevent their victory."
61,244,{},1761655072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,"[""Technology"",""Rationale""]",Civil Service,"While we're in Industrial era, completing Civil Service provides valuable benefits for our current war effort: farms near rivers/lakes get +1 Food which will help grow our key military production cities like Istanbul (23 pop) and Ankara (17 pop), and unlocks Pikemen which are strong anti-cavalry units. Our current war against Indonesia requires maximum city production capacity, and the additional food will support larger populations for more unit production. The Pikemen counter will also be useful as Indonesia has cavalry units (Cuirassiers)."
62,246,{},1761655130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,"[""Technology"",""Rationale""]",Steel,"While Civil Service is set, Steel is far more critical for our current war against Indonesia. Indonesia controls 50% of capitals for domination victory and we're at a critical moment around Seoul. Steel unlocks Field Guns (40 ranged strength vs current Great Bombards at 43 but with better availability) and Frigates. Our current siege capabilities are insufficient against Seoul's defenses - we need more Field Guns to break through Indonesian fortifications. With Military Science nearly complete and giving us Cavalry, Steel will complement this by dramatically improving our siege warfare capabilities to take Seoul before Indonesia can consolidate."
63,249,{},1761655251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,"[""Rationale""]",Steel,"Steel remains our critical research priority. With Korea capitulated and Indonesia at 50% capital control, we must break through Seoul's defenses immediately. We just upgraded our first Cannon to Field Gun (40 ranged strength) and Steel will unlock more Field Guns to replace our remaining Cannons. Indonesia still has 717 strength in Seoul zone vs our 346, so we need the siege advantage Steel provides. The war is at a critical juncture - falling back now lets Indonesia consolidate their position."
