ID,Turn,Payload,CreatedAt,Player0,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18,Player19,Player20,Player21,Key,Version,IsLatest,Changes,DominationVictory,ScienceVictory,CulturalVictory,DiplomaticVictory
15,93,{},1761650573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{},""PolicyPercentage"":29,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{},""PolicyPercentage"":22,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":22,""InfluentialCivs"":0},""Venice"":{""Influences"":{},""PolicyPercentage"":22,""InfluentialCivs"":0}}",Unlocked in later eras
16,106,{},1761650872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{},""PolicyPercentage"":29,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{},""PolicyPercentage"":22,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":22,""InfluentialCivs"":0},""Venice"":{""Influences"":{},""PolicyPercentage"":25,""InfluentialCivs"":0}}",Unlocked in later eras
17,107,{},1761650893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{},""PolicyPercentage"":29,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{},""PolicyPercentage"":25,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":22,""InfluentialCivs"":0},""Venice"":{""Influences"":{},""PolicyPercentage"":25,""InfluentialCivs"":0}}",Unlocked in later eras
18,109,{},1761650933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{},""PolicyPercentage"":29,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{},""PolicyPercentage"":25,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":22,""InfluentialCivs"":0},""Venice"":{""Influences"":{""The Ottomans"":""Exotic (5%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0}}",Unlocked in later eras
19,113,{},1761651030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{},""PolicyPercentage"":29,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{},""PolicyPercentage"":25,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":25,""InfluentialCivs"":0},""Venice"":{""Influences"":{""The Ottomans"":""Exotic (5%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0}}",Unlocked in later eras
20,115,{},1761651078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{},""PolicyPercentage"":29,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{""The Ottomans"":""Exotic (5%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":25,""InfluentialCivs"":0},""Venice"":{""Influences"":{""The Ottomans"":""Exotic (6%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0}}",Unlocked in later eras
21,116,{},1761651100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{},""PolicyPercentage"":29,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{""The Ottomans"":""Exotic (5%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":25,""InfluentialCivs"":0},""Venice"":{""Influences"":{""Korea"":""Exotic (5%) - Rising Slowly"",""The Ottomans"":""Exotic (6%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0}}",Unlocked in later eras
22,117,{},1761651122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{},""PolicyPercentage"":29,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{""Korea"":""Exotic (5%) - Rising Slowly"",""The Ottomans"":""Exotic (5%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":25,""InfluentialCivs"":0},""Venice"":{""Influences"":{""Korea"":""Exotic (5%) - Rising Slowly"",""The Ottomans"":""Exotic (6%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0}}",Unlocked in later eras
23,118,{},1761651146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{""Korea"":""Exotic (5%) - Rising Slowly""},""PolicyPercentage"":29,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{""Korea"":""Exotic (5%) - Rising Slowly"",""The Ottomans"":""Exotic (5%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":25,""InfluentialCivs"":0},""Venice"":{""Influences"":{""Indonesia"":""Exotic (5%) - Rising Slowly"",""Korea"":""Exotic (5%) - Rising Slowly"",""The Ottomans"":""Exotic (6%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0}}",Unlocked in later eras
24,119,{},1761651169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{""Korea"":""Exotic (5%) - Rising Slowly""},""PolicyPercentage"":29,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{""Korea"":""Exotic (5%) - Rising Slowly"",""The Ottomans"":""Exotic (6%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":25,""InfluentialCivs"":0},""Venice"":{""Influences"":{""Indonesia"":""Exotic (5%) - Rising Slowly"",""Korea"":""Exotic (5%) - Rising Slowly"",""The Ottomans"":""Exotic (6%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0}}",Unlocked in later eras
25,120,{},1761651189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{""Korea"":""Exotic (5%) - Rising Slowly""},""PolicyPercentage"":33,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{""Korea"":""Exotic (5%) - Rising Slowly"",""The Ottomans"":""Exotic (6%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":25,""InfluentialCivs"":0},""Venice"":{""Influences"":{""Indonesia"":""Exotic (5%) - Rising Slowly"",""Korea"":""Exotic (5%) - Rising Slowly"",""The Ottomans"":""Exotic (6%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0}}",Unlocked in later eras
26,121,{},1761651213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{""Indonesia"":""Exotic (5%) - Rising Slowly"",""Korea"":""Exotic (5%) - Rising Slowly"",""Venice"":""Exotic (5%) - Rising Slowly""},""PolicyPercentage"":33,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{""Korea"":""Exotic (5%) - Rising Slowly"",""The Ottomans"":""Exotic (6%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":25,""InfluentialCivs"":0},""Venice"":{""Influences"":{""Indonesia"":""Exotic (5%) - Rising Slowly"",""Korea"":""Exotic (5%) - Rising Slowly"",""The Ottomans"":""Exotic (7%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0}}",Unlocked in later eras
27,123,{},1761651250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{""Indonesia"":""Exotic (5%) - Rising Slowly"",""Korea"":""Exotic (5%) - Rising Slowly"",""Venice"":""Exotic (5%) - Rising Slowly""},""PolicyPercentage"":33,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{""Korea"":""Exotic (6%) - Rising Slowly"",""The Ottomans"":""Exotic (6%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":25,""InfluentialCivs"":0},""Venice"":{""Influences"":{""Indonesia"":""Exotic (5%) - Rising Slowly"",""Korea"":""Exotic (5%) - Rising Slowly"",""The Ottomans"":""Exotic (7%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0}}",Unlocked in later eras
28,124,{},1761651267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{""Indonesia"":""Exotic (5%) - Rising Slowly"",""Korea"":""Exotic (6%) - Rising Slowly"",""Venice"":""Exotic (5%) - Rising Slowly""},""PolicyPercentage"":33,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{""Korea"":""Exotic (6%) - Rising Slowly"",""The Ottomans"":""Exotic (6%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":25,""InfluentialCivs"":0},""Venice"":{""Influences"":{""Indonesia"":""Exotic (5%) - Rising Slowly"",""Korea"":""Exotic (6%) - Rising Slowly"",""The Ottomans"":""Exotic (7%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0}}",Unlocked in later eras
29,125,{},1761651291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{""Indonesia"":""Exotic (5%) - Rising Slowly"",""Korea"":""Exotic (6%) - Rising Slowly"",""Venice"":""Exotic (5%) - Rising Slowly""},""PolicyPercentage"":33,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{""Korea"":""Exotic (6%) - Rising Slowly"",""Venice"":""Exotic (5%) - Rising Slowly"",""The Ottomans"":""Exotic (7%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":25,""InfluentialCivs"":0},""Venice"":{""Influences"":{""Indonesia"":""Exotic (5%) - Rising Slowly"",""Korea"":""Exotic (6%) - Rising Slowly"",""The Ottomans"":""Exotic (7%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0}}",Unlocked in later eras
30,126,{},1761651316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{""Indonesia"":""Exotic (5%) - Rising Slowly"",""Korea"":""Exotic (6%) - Rising Slowly"",""Venice"":""Exotic (6%) - Rising Slowly""},""PolicyPercentage"":33,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{""Korea"":""Exotic (6%) - Rising Slowly"",""Venice"":""Exotic (5%) - Rising Slowly"",""The Ottomans"":""Exotic (7%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":25,""InfluentialCivs"":0},""Venice"":{""Influences"":{""Indonesia"":""Exotic (5%) - Rising Slowly"",""Korea"":""Exotic (6%) - Rising Slowly"",""The Ottomans"":""Exotic (7%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0}}",Unlocked in later eras
31,127,{},1761651335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{""Indonesia"":""Exotic (6%) - Rising Slowly"",""Korea"":""Exotic (6%) - Rising Slowly"",""Venice"":""Exotic (6%) - Rising Slowly""},""PolicyPercentage"":33,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{""Korea"":""Exotic (6%) - Rising Slowly"",""Venice"":""Exotic (5%) - Rising Slowly"",""The Ottomans"":""Exotic (7%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":25,""InfluentialCivs"":0},""Venice"":{""Influences"":{""Indonesia"":""Exotic (5%) - Rising Slowly"",""Korea"":""Exotic (6%) - Rising Slowly"",""The Ottomans"":""Exotic (7%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0}}",Unlocked in later eras
32,128,{},1761651354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{""Indonesia"":""Exotic (6%) - Rising Slowly"",""Korea"":""Exotic (7%) - Rising Slowly"",""Venice"":""Exotic (6%) - Rising Slowly""},""PolicyPercentage"":33,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{""Korea"":""Exotic (6%) - Rising Slowly"",""Venice"":""Exotic (5%) - Rising Slowly"",""The Ottomans"":""Exotic (7%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":25,""InfluentialCivs"":0},""Venice"":{""Influences"":{""Indonesia"":""Exotic (5%) - Rising Slowly"",""Korea"":""Exotic (6%) - Rising Slowly"",""The Ottomans"":""Exotic (7%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0}}",Unlocked in later eras
33,129,{},1761651378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{""Indonesia"":""Exotic (6%) - Rising Slowly"",""Korea"":""Exotic (7%) - Rising Slowly"",""Venice"":""Exotic (6%) - Rising Slowly""},""PolicyPercentage"":33,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{""Korea"":""Exotic (7%) - Rising Slowly"",""Venice"":""Exotic (5%) - Rising Slowly"",""The Ottomans"":""Exotic (7%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":25,""InfluentialCivs"":0},""Venice"":{""Influences"":{""Indonesia"":""Exotic (5%) - Rising Slowly"",""Korea"":""Exotic (6%) - Rising Slowly"",""The Ottomans"":""Exotic (7%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0}}",Unlocked in later eras
34,131,{},1761651439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{""Indonesia"":""Exotic (6%) - Rising Slowly"",""Korea"":""Exotic (7%) - Rising Slowly"",""Venice"":""Exotic (6%) - Rising Slowly""},""PolicyPercentage"":33,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{""Korea"":""Exotic (7%) - Rising Slowly"",""Venice"":""Exotic (6%) - Rising Slowly"",""The Ottomans"":""Exotic (8%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":25,""InfluentialCivs"":0},""Venice"":{""Influences"":{""Indonesia"":""Exotic (6%) - Rising Slowly"",""Korea"":""Exotic (7%) - Rising Slowly"",""The Ottomans"":""Exotic (8%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0}}",Unlocked in later eras
35,132,{},1761651461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,"[""CulturalVictory""]","{""CapitalsNeeded"":4}",Unlocked in later eras,"{""CivsNeeded"":3,""The Ottomans"":{""Influences"":{""Indonesia"":""Exotic (6%) - Rising Slowly"",""Korea"":""Exotic (7%) - Rising Slowly"",""Venice"":""Exotic (7%) - Rising Slowly""},""PolicyPercentage"":33,""InfluentialCivs"":0},""Indonesia"":{""Influences"":{""Korea"":""Exotic (7%) - Rising Slowly"",""Venice"":""Exotic (6%) - Rising Slowly"",""The Ottomans"":""Exotic (8%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0},""Korea"":{""Influences"":{},""PolicyPercentage"":25,""InfluentialCivs"":0},""Venice"":{""Influences"":{""Indonesia"":""Exotic (6%) - Rising Slowly"",""Korea"":""Exotic (7%) - Rising Slowly"",""The Ottomans"":""Exotic (8%) - Rising Slowly""},""PolicyPercentage"":25,""InfluentialCivs"":0}}",Unlocked in later eras
